,Country of refuge,Keyword,Number of records
0,Poland,Cold War,18
1,Czechoslovakia,Migration and refugee policies,18
2,Czechoslovakia,Cold War,16
3,Austria,Cold War,15
4,Czechoslovakia,Anti-Fascism/Anti-Nazism,12
5,Austria,Transit country,12
6,Czechoslovakia,Asylum,11
7,Yugoslavia,Cold War,11
8,Austria,Migration and refugee policies,10
9,Czechoslovakia,Borders and borderlands,10
10,Czechoslovakia,Biographies,9
11,Hungary,Cold War,9
12,Czechoslovakia,Expulsion,9
13,Poland,Migration and refugee policies,9
14,Austria,Asylum,9
15,Czechoslovakia,Political parties,8
16,Poland,Expulsion,8
17,Poland,Integration,7
18,Hungary,Migration and refugee policies,7
19,Czechoslovakia,Aid organisations,7
20,Czechoslovakia,Culture,7
21,Czechoslovakia,Literature,7
22,Czechoslovakia,Communism,6
23,Czechoslovakia,Social care,6
24,Czechoslovakia,Humanitarianism,6
25,Poland,Citizenship,6
26,Czechoslovakia,Social Democracy,6
27,Czechoslovakia,Intellectual life,6
28,Czechoslovakia,Public opinion,5
29,Austria,Holocaust survivors,5
30,Austria,Citizenship,5
31,Czechoslovakia,Art,5
32,Croatia,Asylum,4
33,Czechoslovakia,Refugee and internment camps,4
34,Czechoslovakia,Citizenship,4
35,Hungary,Refugee and internment camps,4
36,Poland,Asylum,4
37,Austria,Migration history,4
38,Austria,Forced labour,4
39,Czechoslovakia,Antisemitism,4
40,Czech Republic,Migration and refugee policies,3
41,Hungary,Asylum,3
42,Poland,Antisemitism,3
43,Poland,Health care,3
44,Poland,Repatriation,3
45,Yugoslavia,Aid organisations,3
46,Yugoslavia,Citizenship,3
47,Czechoslovakia,Integration,3
48,Czechoslovakia,No man's land,3
49,Czechoslovakia,Education,3
50,Yugoslavia,Minorities,3
51,Hungary,Rescue,3
52,Hungary,Social care,3
53,Czechoslovakia,Health care,3
54,Austria,Labour migration,3
55,Poland,Aid organisations,3
56,Czechoslovakia,National identity,2
57,Czechoslovakia,Media and Press,2
58,Czechoslovakia,Minorities,2
59,Yugoslavia,Transit country,2
60,Serbia,Citizenship,2
61,Poland,Socialist solidarity,2
62,Albania,Cold War,2
63,Hungary,Citizenship,2
64,Hungary,Decolonisation/Postcolonialism,2
65,Poland,Refugee experience (Personal Narratives),2
