,Country of refuge,Keyword,Number of records
0,"Refugees, of the Greek Civil War (1944, 1946-1949)",Cold War,34
1,"Refugees, of Nazism (1933-1945)",Migration and refugee policies,15
2,"Refugees, of Nazism (1933-1945)",Asylum,12
3,"Refugees, of Nazism (1933-1945)",Anti-Fascism/Anti-Nazism,11
4,"Refugees, of the Munich Agreement (1938)",Expulsion,10
5,"Refugees, of Nazism (1933-1945)",Expulsion,8
6,"Refugees, of Nazism (1933-1945)",Social Democracy,7
7,"Refugees, of the Munich Agreement (1938)",Borders and borderlands,7
8,"Refugees, of the Greek Civil War (1944, 1946-1949)",Education,6
9,"Refugees, of Nazism (1933-1945)",Literature,6
10,"Refugees, of the Munich Agreement (1938)",Migration and refugee policies,5
11,"Refugees, of the Greek Civil War (1944, 1946-1949)",Memory,5
12,"Refugees, of the Greek Civil War (1944, 1946-1949)",Health care,5
13,"Refugees, of the Hungarian revolution (1956)",Cold War,4
14,"Refugees, of the Greek Civil War (1944, 1946-1949)",Integration,4
15,"Refugees, of Nazism (1933-1945)",Art,4
16,"Refugees, of Nazism (1933-1945)",Antisemitism,4
17,"Refugees, of Nazism (1933-1945)",Public opinion,3
18,"Refugees, of the Greek Civil War (1944, 1946-1949)",Refugee experience (Personal Narratives),3
19,"Refugees, of the Greek Civil War (1944, 1946-1949)",Social care,3
20,"Refugees, of the Greek Civil War (1944, 1946-1949)",Media and Press,3
21,"Refugees, of the Munich Agreement (1938)",Asylum,3
22,"Refugees, of Nazism (1933-1945)",Aid organisations,3
23,"Refugees, of Nazism (1933-1945)",Political parties,3
24,"Refugees, of the Russian Civil War (1917-1923)",Asylum,3
25,"Refugees, of the Munich Agreement (1938)",Citizenship,3
26,"Refugees, of the Russian Civil War (1917-1923)",Intellectual life,3
27,"Refugees, of the Greek Civil War (1944, 1946-1949)",Children homes,3
28,"Refugees, of the Korean War (1950-1953)",Cold War,2
29,"Refugees, of the Hungarian revolution (1956)",Transit country,2
30,"Refugees, of the Hungarian revolution (1956)",Migration and refugee policies,2
31,"Refugees, of the Munich Agreement (1938)",No man's land,2
32,"Refugees, of the Greek Civil War (1944, 1946-1949)",Socialist solidarity,2
33,"Refugees, of the Munich Agreement (1938)",Social care,2
34,"Refugees, of the Munich Agreement (1938)",Aid organisations,2
35,"Refugees, of the Greek Civil War (1944, 1946-1949)",National identity,2
36,"Refugees, of the Russian Civil War (1917-1923)",Culture,2
37,"Refugees, of the Russian Civil War (1917-1923)",Humanitarianism,2
38,"Refugees, of the Munich Agreement (1938)",Humanitarianism,2
39,"Refugees, of the Russian Civil War (1917-1923)",Migration and refugee policies,2
40,"Refugees, of the Second World War (1939-1945)",Displacement,2
41,"Refugees, of the Second World War (1939-1945)",Expulsion,2
42,"Refugees, of the Second World War (1939-1945)",Migration and refugee policies,2
43,"Refugees, of the Greek Civil War (1944, 1946-1949)",Aid organisations,2
44,"Refugees, of the Yugoslav Wars (1991-2001)",Migration and refugee policies,2
45,"Refugees, of the ""Revolutions of 1989""",Migration and refugee policies,2
